key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
error.server.gazetteer_insert.objecttype.not_hierarchical,"Gazetteer Plugin:

Der gewählte Objekttyp kann nicht für den automatischen Update von Gazetteer-Objekten verwendet werden.
Es können nur hierarchische Objekttypen automatisch aktualisiert werden.
Wählen Sie einen anderen Objekttyp in den Gazetteer-Einstellungen der Basiskonfiguration aus.",FALSE,"Gazetteer Plugin:

The selected object type can not be used for the automatic update of Gazetteer records.
Only hierarchical object types can be used for automatic Gazetteer updates.
Select another object type in the Gazetteer settings in the base configuration.",FALSE,"Gazetteer Plugin:

The selected object type can not be used for the automatic update of Gazetteer records.
Only hierarchical object types can be used for automatic Gazetteer updates.
Select another object type in the Gazetteer settings in the base configuration.",FALSE,"Paikkatiedot-laajennus:

Valittua objektityyppiä ei voi käyttää Gazetteer-objektien automaattiseen päivittämiseen.
Vain hierarkkisia objektityyppejä voidaan käyttää automaattisissa paikkatietopäivityksissä.
Valitse toinen objektityyppi paikkatietoasetuksista peruskokoonpanossa.",FALSE,Gazetteer-plugin:\n\nDen valda objekttypen kan inte användas för automatisk uppdatering av Gazetteer-objekt.\nEndast hierarkiska objekttyper kan användas för automatiska Gazetteer-uppdateringar.\nVälj en annan objekttyp i Gazetteer-inställningarna i baskonfigurationen.,FALSE,"Gazetteer Plugin:

Le type d'objet sélectionné ne peut pas être utilisé pour la mise à jour automatique des enregistrements du répertoire géographique.
Seuls les types d'objets hiérarchiques peuvent être utilisés pour les mises à jour automatiques du répertoire géographique.
Sélectionnez un autre type d'objet dans les paramètres du répertoire géographique dans la configuration de base.",FALSE,"Gazetteer Plugin:

The selected object type can not be used for the automatic update of Gazetteer records.
Only hierarchical object types can be used for automatic Gazetteer updates.
Select another object type in the Gazetteer settings in the base configuration.",FALSE,"Gazetteer Plugin:

The selected object type can not be used for the automatic update of Gazetteer records.
Only hierarchical object types can be used for automatic Gazetteer updates.
Select another object type in the Gazetteer settings in the base configuration.",FALSE
error.server.gazetteer_insert.objecttype.not_set,"Gazetteer Plugin:

Es wurde kein Objekttyp für generierte Gazetteer-Daten ausgewählt.
Wählen Sie einen hierarchischen Objekttyp in den Gazetteer-Einstellungen der Basiskonfiguration aus.",FALSE,"Gazetteer Plugin:

No object type for generated Gazetteer data selected.
Select an object type in the Gazetteer settings in the base configuration.",FALSE,"Gazetteer Plugin:

No object type for generated Gazetteer data selected.
Select an object type in the Gazetteer settings in the base configuration.",FALSE,"Paikkatiedot-laajennus:

Ei ole valittu kohdetyyppiä luoduille Gazetteer-tiedoille.
Valitse kohdetyyppi peruskonfiguraation paikkatietoasetuksista.",FALSE,Gazetteer-plugin:\n\nIngen objekttyp för genererad Gazetteer-data har valts.\nVälj en objekttyp i Gazetteer-inställningarna i baskonfigurationen.,FALSE,"Gazetteer Plugin:

Aucun type d'objet sélectionné pour les données de répertoire géographique générées.
Sélectionnez un type d'objet dans les paramètres du répertoire géographique dans la configuration de base.",FALSE,"Gazetteer Plugin:

No object type for generated Gazetteer data selected.
Select an object type in the Gazetteer settings in the base configuration.",FALSE,"Gazetteer Plugin:

No object type for generated Gazetteer data selected.
Select an object type in the Gazetteer settings in the base configuration.",FALSE
server.config.group.system.gazetteer_plugin.introduction,Einstellungen für Custom Data Type Gazetteer,FALSE,Settings for custom data type Gazetteer,FALSE,Settings for custom data type Gazetteer,FALSE,Mukautetun paikkatietotyypin asetukset,FALSE,Inställningar för anpassad datatyp Gazetteer,FALSE,Paramètres pour le type de données personnalisé Répertoire géographique,FALSE,Settings for custom data type Gazetteer,FALSE,Settings for custom data type Gazetteer,FALSE
server.config.group.system.gazetteer_plugin.title,Gazetteer,FALSE,Gazetteer,FALSE,Gazetteer,FALSE,Paikkatiedot,FALSE,Gazetteer,FALSE,Gazetteer,FALSE,Gazetteer,FALSE,Gazetteer,FALSE
server.config.group.system.plugin_custom-data-type-gazetteer.introduction,Einstellungen für das Gazetteer-Plugin,FALSE,Settings for the Gazetteer plugin,FALSE,Settings for the Gazetteer plugin,FALSE,Paikkatiedot-laajennuksen asetukset,FALSE,Inställningar för Gazetteer plugin,FALSE,Paramètres du plugin Gazetteer,FALSE,Settings for the Gazetteer plugin,FALSE,Settings for the Gazetteer plugin,FALSE
server.config.group.system.plugin_custom-data-type-gazetteer.title,Gazetteer,FALSE,Gazetteer,FALSE,Gazetteer,FALSE,Paikkatiedot,FALSE,Gazetteer,FALSE,Gazetteer,FALSE,Gazetteer,FALSE,Gazetteer,FALSE
server.config.name.system.gazetteer_plugin_settings,Automatisches Einfügen von Objekten mit Gazetteer-Feldern,FALSE,Automatic insertion of records with Gazetteer fields,FALSE,Automatic insertion of records with Gazetteer fields,FALSE,Automaattiset objektien lisäykset paikkatietokentillä,FALSE,Automatiska insättningar av objekt med Gazetteer-fält,FALSE,Insertion automatique des enregistrements avec les champs Répertoire géographique,FALSE,Automatic insertion of records with Gazetteer fields,FALSE,Automatic insertion of records with Gazetteer fields,FALSE
server.config.name.system.gazetteer_plugin_settings|hint,"Wählen Sie einen hierarchischen Objekttypen sowie Ziel- und Quellfelder, um Gazetteer-Custom-Datatype-Felder zu aktualisieren, und fehlende Elternobjekte automatisch zu erzeugen.

Bitte beachten Sie folgende Einschränkungen:

* Es können nur Objekttypen ausgewählt werden, die mindestens ein Feld vom Typ Gazetteer (außerhalb von Mehrfachfeldern) besitzen
* Der Objekttyp muss hierarchisch sein, um die hierarchische Gazetteer-Struktur abbilden zu können
* Es können keine Objekttypen gewählt werden, die Felder mit NOT-NULL- oder Check-Constraints besitzen (abgesehen von Feldern in Mehrfachfeldern, oder dem Zielfeld), da das Plugin die Constraints nicht erfüllen kann

Weitere Informationen: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Select a hierarchical object type and target & source fields to update Gazetteer custom datatype fields, and automatically create missing parent records.

Please note the following restrictions:

* Only object types that have at least one Gazetteer field (outside of nested fields) can be selected.
* The object type must be hierarchical to be able to map the hierarchical Gazetteer structure
* No object types can be selected that have fields with NOT-NULL or check constraints (except for fields in nested fields, or the target field), because the plugin cannot satisfy the constraints.

More information: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Select a hierarchical object type and target & source fields to update Gazetteer custom datatype fields, and automatically create missing parent records.

Please note the following restrictions:

* Only object types that have at least one Gazetteer field (outside of nested fields) can be selected.
* The object type must be hierarchical to be able to map the hierarchical Gazetteer structure
* No object types can be selected that have fields with NOT-NULL or check constraints (except for fields in nested fields, or the target field), because the plugin cannot satisfy the constraints.

More information: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Valitse hierarkkinen objektityyppi sekä lähde- ja kohdekentät automaattisesti paikkatietokentille. Myös puuttuvat pääobjektit lisätään automaattisesti.

Huomaa seuraavat rajoitukset:

* Voidaan valita vain objektityyppejä, joissa on vähintään yksi paikkatyyppikenttä sisäkkäisen taulukon ulkopuolella
* Objektityypin on oltava hierarkkinen jotta voidaan kartoittaa hierarkkinen paikkatietorakenne
* Objektityyppejä, joissa on kenttiä NOT-NULL tai tarkistusrajoituksia ei voi valita (lukuun ottamatta kohdekenttää ja sisäkkäisten taulukoiden sisällä olevia kenttiä), koska laajennus ei voi täyttää rajoituksia

Lisätietoja: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Välj en hierarkisk objekttyp samt käll- och målfält för att automatiskt skapa Gazetteer-fält. Saknade överordnade objekt infogas också automatiskt.\n\nObservera följande begränsningar:\n\n* Endast objekttyper kan väljas som har minst ett Gazetteer-typfält utanför en kapslad tabell\n* Objekttypen måste vara hierarkisk för att kartlägga den hierarkiska Gazetteer-strukturen\n* Inga objekttyper kan väljas som har fält med NOT-NULL eller kontrollbegränsningar (förutom målfältet och fält inuti kapslade tabeller), eftersom pluginet inte kan uppfylla begränsningarna\n\nMer Information: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Sélectionnez un type d'objet hiérarchique et des champs cible et source pour mettre à jour les champs de type de données personnalisés de Gazetteer et créer automatiquement les enregistrements parents manquants.

Veuillez noter les restrictions suivantes :

* Seuls les types d'objets comportant au moins un champ Répertoire géographique (en dehors des champs imbriqués) peuvent être sélectionnés.
* Le type d'objet doit être hiérarchique pour pouvoir cartographier la structure hiérarchique du répertoire géographique
* Aucun type d'objet ne peut être sélectionné avec des champs avec des contraintes NOT-NULL ou des contraintes de vérification (à l'exception des champs dans les champs imbriqués ou du champ cible), car le plugin ne peut pas satisfaire les contraintes.

Pour plus d'information: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Select a hierarchical object type and target & source fields to update Gazetteer custom datatype fields, and automatically create missing parent records.

Please note the following restrictions:

* Only object types that have at least one Gazetteer field (outside of nested fields) can be selected.
* The object type must be hierarchical to be able to map the hierarchical Gazetteer structure
* No object types can be selected that have fields with NOT-NULL or check constraints (except for fields in nested fields, or the target field), because the plugin cannot satisfy the constraints.

More information: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE,"Select a hierarchical object type and target & source fields to update Gazetteer custom datatype fields, and automatically create missing parent records.

Please note the following restrictions:

* Only object types that have at least one Gazetteer field (outside of nested fields) can be selected.
* The object type must be hierarchical to be able to map the hierarchical Gazetteer structure
* No object types can be selected that have fields with NOT-NULL or check constraints (except for fields in nested fields, or the target field), because the plugin cannot satisfy the constraints.

More information: https://github.com/programmfabrik/easydb-custom-data-type-gazetteer",FALSE
server.config.name.system.update_interval_gazetteer,Automatische Aktualisierung für das Gazetteer Custom Data Type Plugin,FALSE,Automatic updates for the Gazetteer Custom Data Type Plugin,FALSE,Automatic updates for the Gazetteer Custom Data Type Plugin,FALSE,Paikkatietojen automaattinen päivitys,FALSE,Automatisk uppdatering för Gazetteer Custom Data Type Plugin,FALSE,Mises à jour automatiques pour le plug-in de type de données personnalisé Gazetteer,FALSE,Automatic updates for the Gazetteer Custom Data Type Plugin,FALSE,Automatic updates for the Gazetteer Custom Data Type Plugin,FALSE
server.config.name.system.update_interval_gazetteer,Gazetteer Update Einstellungen,FALSE,Gazetteer Update settings,FALSE,Gazetteer Update settings,FALSE,Paikkatietojen päivitysasetukset,FALSE,Gazetteer uppdateringsinställningar,FALSE,Paramètres de mise à jour du répertoire géographique (Gazetteer),FALSE,Gazetteer Update settings,FALSE,Gazetteer Update settings,FALSE
